coin_id,coin_symbol,coin_name,price_usd,market_cap_usd,volume_24h_usd,change_pct_24h,high_24h_usd,low_24h_usd,circulating_supply,total_supply,all_time_high,all_time_low,rank_market_cap,last_updated
bitcoin,btc,Bitcoin,108840.0,2162628974870,29905557776.0,0.84,108990.0,106802.0,19869871.0,19869871.0,111814.0,67.81,1,2025-05-25T23:47:55.123Z
ethereum,eth,Ethereum,2544.99,307186079030,13793086569.0,0.62,2548.11,2479.53,120725964.15,120725964.15,4878.26,0.43,2,2025-05-25T23:48:08.732Z
tether,usdt,Tether,1.0,152785259602,48960794321.0,0.01,1.0,1.0,152732954758.04,152732954758.04,1.32,0.57,3,2025-05-25T23:47:55.738Z
ripple,xrp,XRP,2.34,137237053971,1904388813.0,0.3,2.34,2.28,58686007292.0,99986107098.0,3.4,0.0,4,2025-05-25T23:48:02.880Z
binancecoin,bnb,BNB,669.79,97713765530,769549017.0,0.24,669.8,657.95,145887575.79,145887575.79,788.84,0.04,5,2025-05-25T23:48:04.264Z
solana,sol,Solana,174.87,90980472021,3917681068.0,-0.68,176.36,169.9,520283480.28,601533137.94,293.31,0.5,6,2025-05-25T23:48:06.941Z
usd-coin,usdc,USDC,1.0,61702043317,4956758916.0,-0.0,1.0,1.0,61714627590.78,61717713857.31,1.17,0.88,7,2025-05-25T23:48:02.060Z
dogecoin,doge,Dogecoin,0.22,33456240218,1544236505.0,-0.6,0.23,0.22,149386596383.71,149415646383.71,0.73,0.0,8,2025-05-25T23:47:54.498Z
cardano,ada,Cardano,0.76,27347153385,679183012.0,1.6,0.76,0.73,36072153255.98,45000000000.0,3.09,0.02,9,2025-05-25T23:47:54.396Z
tron,trx,TRON,0.27,25758448652,562965348.0,0.37,0.27,0.27,94877824827.89,94878057214.7,0.43,0.0,10,2025-05-25T23:48:05.762Z
staked-ether,steth,Lido Staked Ether,2541.75,22874719245,13649233.0,0.67,2549.61,2476.08,8998869.21,8998869.21,4829.57,482.9,11,2025-05-25T23:48:01.203Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,108650.0,13996253690,210288063.0,0.99,108898.0,106664.0,128814.96,128814.96,111685.0,3139.17,12,2025-05-25T23:48:01.674Z
hyperliquid,hype,Hyperliquid,38.8,12950607510,413308279.0,9.27,39.1,33.72,333928180.0,999990391.0,39.1,3.81,13,2025-05-25T23:48:01.369Z
sui,sui,Sui,3.59,11983949219,977046011.0,-0.69,3.65,3.47,3338327017.91,10000000000.0,5.35,0.36,14,2025-05-25T23:48:07.788Z
wrapped-steth,wsteth,Wrapped stETH,3058.91,10691446857,9917392.0,0.49,3066.77,2970.42,3495115.88,3495115.88,7256.02,558.54,15,2025-05-25T23:48:02.621Z
chainlink,link,Chainlink,15.47,10163452437,333813696.0,0.91,15.52,14.93,657099970.45,1000000000.0,52.7,0.15,16,2025-05-25T23:47:59.019Z
avalanche-2,avax,Avalanche,23.3,9811982912,322565854.0,1.67,23.35,22.13,421116390.91,456118351.18,144.96,2.8,17,2025-05-25T23:48:07.196Z
stellar,xlm,Stellar,0.29,8940051902,161279437.0,0.51,0.29,0.28,31115828861.19,50001786892.82,0.88,0.0,18,2025-05-25T23:48:02.273Z
shiba-inu,shib,Shiba Inu,0.0,8525197259,214666696.0,0.65,0.0,0.0,589249657735255.4,589504132605992.5,0.0,0.0,19,2025-05-25T23:48:04.104Z
bitcoin-cash,bch,Bitcoin Cash,422.03,8382736109,176464153.0,0.1,426.32,409.93,19874637.4,19874637.4,3785.82,76.93,20,2025-05-25T23:48:03.612Z
leo-token,leo,LEO Token,8.89,8207531166,2889618.0,0.95,8.92,8.8,923374561.9,985239504.0,10.14,0.8,21,2025-05-25T23:48:06.765Z
hedera-hashgraph,hbar,Hedera,0.19,7939376391,103381449.0,-0.19,0.19,0.18,42239760469.02,50000000000.0,0.57,0.01,22,2025-05-25T23:47:54.034Z
monero,xmr,Monero,415.26,7659848156,106786250.0,3.0,417.88,397.29,18446744.07,18446744.07,542.33,0.22,23,2025-05-25T23:48:03.573Z
the-open-network,ton,Toncoin,2.99,7450330537,145149368.0,-1.34,3.04,2.93,2491336622.54,5130820661.38,8.25,0.52,24,2025-05-25T23:47:58.412Z
litecoin,ltc,Litecoin,95.6,7255013624,337920442.0,-0.05,95.88,93.83,75887601.98,75893733.23,410.26,1.15,25,2025-05-25T23:47:54.354Z
weth,weth,WETH,2544.69,7192443189,77612953.0,0.78,2558.62,2474.18,2826467.31,2826467.31,4799.89,82.1,26,2025-05-25T23:48:08.348Z
polkadot,dot,Polkadot,4.51,6869026486,187754271.0,-0.67,4.55,4.38,1522267060.0,1522267060.0,54.98,2.7,27,2025-05-25T23:48:05.250Z
usds,usds,USDS,1.0,6648741697,3763158.0,-0.01,1.0,1.0,6650924303.71,6650924303.71,1.06,0.95,28,2025-05-25T23:47:55.208Z
bitget-token,bgb,Bitget Token,5.37,6286224197,102055979.0,-3.96,5.6,5.3,1169993089.2,1169993089.2,8.45,0.01,29,2025-05-25T23:47:58.724Z
wrapped-eeth,weeth,Wrapped eETH,2714.41,6171110787,5393048.0,0.56,2721.79,2642.06,2272052.62,2272052.62,4311.81,1505.24,30,2025-05-25T23:48:08.724Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,5979601791,4646454526.0,-0.31,1.0,1.0,5984993799.55,5984993799.55,1.05,0.94,31,2025-05-25T23:48:05.747Z
pepe,pepe,Pepe,0.0,5694779651,1555582696.0,-1.96,0.0,0.0,420690000000000.0,420690000000000.0,0.0,0.0,32,2025-05-25T23:47:59.767Z
pi-network,pi,Pi Network,0.78,5666117014,107989856.0,0.83,0.78,0.76,7242931232.69,11142971127.22,2.99,0.41,33,2025-05-25T23:48:00.704Z
ethena-usde,usde,Ethena USDe,1.0,5213311755,62672554.0,0.07,1.01,1.0,5209086642.87,5209086642.87,1.03,0.93,34,2025-05-25T23:47:58.448Z
whitebit,wbt,WhiteBIT Coin,32.3,4654043215,31162366.0,1.7,32.31,31.61,144118517.11,325607102.0,32.31,3.06,35,2025-05-25T23:48:00.294Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,108881.0,4616264045,204858437.0,1.12,109200.0,106693.0,42392.62,42392.62,112129.0,57439.0,36,2025-05-25T23:48:08.708Z
aave,aave,Aave,266.74,4038332940,533899076.0,2.17,269.19,257.74,15139464.67,16000000.0,661.69,26.02,37,2025-05-25T23:48:03.666Z
bittensor,tao,Bittensor,430.97,3755898418,92333699.0,-0.3,434.87,412.78,8723713.0,21000000.0,757.6,30.83,38,2025-05-25T23:48:04.468Z
dai,dai,Dai,1.0,3697880605,58200080.0,0.0,1.0,1.0,3698086835.7,3698086835.7,1.22,0.88,39,2025-05-25T23:47:59.789Z
uniswap,uni,Uniswap,6.15,3686735179,211771043.0,0.37,6.16,5.92,600483073.71,1000000000.0,44.92,1.03,40,2025-05-25T23:48:08.314Z
near,near,NEAR Protocol,2.79,3404614175,177761480.0,0.4,2.8,2.66,1218629665.0,1251989816.0,20.44,0.53,41,2025-05-25T23:48:06.224Z
aptos,apt,Aptos,5.25,3319721773,169250856.0,-1.29,5.33,5.03,633241921.47,1152636800.34,19.92,3.08,42,2025-05-25T23:48:06.677Z
jito-staked-sol,jitosol,Jito Staked SOL,210.04,3176944788,41801389.0,-0.69,212.43,203.98,15136645.2,15136645.2,339.52,0.58,43,2025-05-25T23:47:59.036Z
okb,okb,OKB,52.21,3132334970,4239253.0,0.17,52.4,51.8,60000000.0,235957685.3,73.8,0.58,44,2025-05-25T23:48:00.609Z
ondo-finance,ondo,Ondo,0.95,2992963779,132535247.0,0.74,0.95,0.91,3159107529.0,10000000000.0,2.14,0.08,45,2025-05-25T23:48:05.448Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2922443478,0.0,0.0,1.0,1.0,2922443478.45,2922443478.45,1.0,1.0,46,2025-05-25T23:45:19.057Z
crypto-com-chain,cro,Cronos,0.1,2867853020,18791019.0,0.39,0.1,0.09,29847689355.37,97714386986.14,0.97,0.01,47,2025-05-25T23:48:02.934Z
internet-computer,icp,Internet Computer,5.26,2807552066,57413475.0,1.09,5.27,5.04,533566714.34,533566714.34,700.65,2.87,48,2025-05-25T23:47:59.409Z
kaspa,kas,Kaspa,0.11,2792843893,61852606.0,-1.0,0.11,0.1,26220605727.28,26222159444.27,0.21,0.0,49,2025-05-25T23:48:06.032Z
ethereum-classic,etc,Ethereum Classic,18.31,2784048692,52060185.0,-0.46,18.42,17.92,152058284.33,152058284.33,167.09,0.62,50,2025-05-25T23:48:03.126Z
ethena-staked-usde,susde,Ethena Staked USDe,1.17,2651032478,11792676.0,0.03,1.17,1.17,2257543871.26,2257543871.26,1.29,1.01,51,2025-05-25T23:48:03.656Z
tokenize-xchange,tkx,Tokenize Xchange,32.61,2608955809,26606417.0,-4.87,34.43,30.4,79995999.05,100000000.0,50.43,0.11,52,2025-05-25T23:47:59.510Z
gatechain-token,gt,Gate,21.19,2572125797,15125209.0,-1.05,21.42,21.12,121367677.02,300000000.0,25.94,0.26,53,2025-05-25T23:48:01.267Z
official-trump,trump,Official Trump,12.81,2559439746,557334958.0,-0.98,12.94,12.36,199999975.84,1000000000.0,73.43,4.29,54,2025-05-25T23:48:07.228Z
mantle,mnt,Mantle,0.73,2464624181,222665385.0,-0.3,0.74,0.72,3364694382.84,6219316794.99,1.54,0.31,55,2025-05-25T23:47:57.691Z
